WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
527,Taywarah,AF,33.35,64.4167,55.15,14,0,8.99,clear sky
528,Varnamo,SE,57.186,14.04,42.28,94,96,5.77,overcast clouds
529,Tigre,AR,-34.426,-58.5796,59.0,71,0,3.44,clear sky
530,Along,IN,28.1667,94.7667,71.71,92,97,2.75,overcast clouds
531,Castleford,GB,53.7259,-1.3626,49.19,92,91,4.07,overcast clouds
532,Kargasok,RU,59.0556,80.8572,40.1,90,25,6.26,scattered clouds
533,Ossora,RU,59.2353,163.0719,26.28,94,100,5.91,light snow
534,Eston,CA,51.1501,-108.7514,17.73,85,100,15.68,overcast clouds
535,Paka,MY,4.6374,103.4368,89.53,70,40,4.61,scattered clouds
536,Dom Pedrito,BR,-30.9828,-54.6731,48.61,64,0,6.67,clear sky
537,Roald,NO,62.5833,6.1333,40.75,87,20,11.5,few clouds
538,Fukuyama,JP,34.4833,133.3667,64.54,90,100,4.63,overcast clouds
539,Malpe,IN,13.35,74.7167,79.9,71,100,2.1,overcast clouds
540,Marzuq,YE,14.4,46.4667,81.82,12,0,7.31,clear sky
541,Winnemucca,US,40.973,-117.7357,39.25,70,100,5.75,overcast clouds
542,Port Lincoln,AU,-34.7333,135.8667,70.66,70,100,11.27,light rain
543,Pierre,US,44.3683,-100.351,25.86,59,100,36.82,overcast clouds
544,Nouakchott,MR,18.0858,-15.9785,67.93,63,0,11.52,clear sky
545,Bugiri,UG,0.5714,33.7417,75.56,65,28,3.47,scattered clouds
546,Mao,ES,39.8885,4.2658,54.16,94,20,14.97,few clouds
547,Koslan,RU,63.4564,48.8989,29.98,81,100,11.68,overcast clouds
548,Mwene-Ditu,CD,-7.0,23.45,70.5,85,94,3.33,overcast clouds
549,Kismayo,SO,-0.3582,42.5454,85.87,69,25,8.95,scattered clouds
550,Vostok,RU,46.4856,135.8833,40.48,44,87,8.88,overcast clouds
551,Qandala,SO,11.472,49.8728,92.57,29,0,7.83,clear sky
552,Kathmandu,NP,27.7167,85.3167,80.82,39,20,2.3,few clouds
553,Syracuse,IT,37.0881,15.2792,56.57,85,100,18.37,overcast clouds
554,North Bend,US,43.4065,-124.2243,42.93,94,100,4.61,overcast clouds
555,Biak,ID,-0.9131,122.8766,83.98,68,94,5.48,moderate rain
556,Castro Marim,PT,37.2207,-7.4435,58.37,82,58,13.76,broken clouds
557,Ekhabi,RU,53.5102,142.9671,30.87,63,35,11.92,scattered clouds
558,Vegreville,CA,53.5001,-112.0518,20.1,58,100,13.8,overcast clouds
559,Khandyga,RU,62.6667,135.6,29.91,77,99,5.55,light snow
560,Alyangula,AU,-13.8483,136.4192,85.87,74,75,8.05,broken clouds
561,Malakal,SS,9.5334,31.6605,91.31,36,33,2.42,scattered clouds
562,Manakara,MG,-22.1333,48.0167,78.8,78,87,6.13,light rain
563,Fairbanks,US,64.8378,-147.7164,37.4,49,75,0.0,broken clouds
564,Pitimbu,BR,-7.4706,-34.8086,75.79,79,68,1.28,broken clouds
565,Katsuura,JP,35.1333,140.3,56.91,86,100,23.26,light rain
566,Ambilobe,MG,-13.2,49.05,82.42,66,15,4.16,few clouds
567,Poum,NC,-20.2333,164.0167,78.62,76,5,4.41,clear sky
568,Impfondo,CG,1.6381,18.0667,72.37,98,100,0.74,light rain
569,Luwuk,ID,-0.9516,122.7875,86.07,69,92,5.5,light rain
570,Gvardeysk,RU,54.6477,21.0651,42.85,64,98,9.78,overcast clouds
571,Husavik,IS,66.0449,-17.3389,36.37,80,82,12.91,broken clouds
572,Mehamn,NO,71.0357,27.8492,31.91,91,93,2.86,overcast clouds
573,Kushiro,JP,42.975,144.3747,40.15,65,75,17.27,broken clouds
574,Kingman,US,35.1894,-114.053,55.18,10,0,12.66,clear sky
575,Samarai,PG,-10.6167,150.6667,85.75,70,56,14.34,broken clouds
576,Shimoda,JP,34.6667,138.95,53.96,87,99,20.36,overcast clouds
577,Faratsiho,MG,-19.4,46.95,63.16,79,49,10.96,scattered clouds
578,Broken Hill,AU,-31.95,141.4333,80.31,18,47,5.75,scattered clouds
579,Basco,PH,20.4487,121.9702,79.54,69,36,12.71,scattered clouds
580,Nara,JP,34.6851,135.8049,78.17,70,100,2.28,overcast clouds
581,Garoua Boulai,CM,5.8833,14.55,65.89,92,93,4.38,overcast clouds
582,Linhares,BR,-19.3911,-40.0722,73.24,95,10,2.98,clear sky
583,Maputo,MZ,-25.9653,32.5892,71.28,83,20,9.22,few clouds
584,La Asuncion,VE,11.0333,-63.8628,76.8,83,22,18.9,few clouds
585,Boffa,GN,10.1667,-14.0333,72.34,85,78,2.53,broken clouds
586,Neutraubling,DE,48.9833,12.2,49.32,79,89,1.99,overcast clouds
587,Machesney Park,US,42.3472,-89.039,37.38,82,75,14.97,broken clouds
588,Jatai,BR,-17.8814,-51.7144,68.02,91,25,1.19,scattered clouds
589,Maralal,KE,1.0968,36.698,69.19,56,44,7.25,scattered clouds
590,Ghanzi,BW,-21.5667,21.7833,71.08,45,33,3.74,scattered clouds
591,Imeni Poliny Osipenko,RU,52.4201,136.4853,30.87,82,94,2.64,overcast clouds
592,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,68,75,14.97,broken clouds
593,Paramirim,BR,-13.4425,-42.2389,71.38,74,53,3.36,broken clouds
594,Port-Cartier,CA,50.0334,-66.8654,35.82,93,59,5.3,broken clouds
595,Kloulklubed,PW,7.0419,134.2556,82.9,78,97,13.4,overcast clouds
596,Mujiayingzi,CN,42.1167,118.7833,49.84,28,85,14.83,overcast clouds
597,Beira,MZ,-19.8436,34.8389,78.89,94,20,10.36,few clouds
